Country,Product,Month,Quantity
Japan,MorningMint,Jan2024,0
Japan,MorningMint,Feb2024,0
Japan,MorningMint,Mar2024,0
Japan,MorningMint,Apr2024,0
Japan,MorningMint,May2024,0
Japan,MorningMint,Jun2024,0
Japan,MorningMint,Jul2024,0
Japan,MorningMint,Aug2024,0
Japan,MorningMint,Sep2024,0
Japan,MorningMint,Oct2024,0
Japan,MorningMint,Nov2024,0
Japan,MorningMint,Dec2024,0
Japan,FreshStart Toothpaste,Jan2024,1438
Japan,FreshStart Toothpaste,Feb2024,1381
Japan,FreshStart Toothpaste,Mar2024,1415
Japan,FreshStart Toothpaste,Apr2024,1463
Japan,FreshStart Toothpaste,May2024,1276
Japan,FreshStart Toothpaste,Jun2024,1286
Japan,FreshStart Toothpaste,Jul2024,1295
Japan,FreshStart Toothpaste,Aug2024,1336
Japan,FreshStart Toothpaste,Sep2024,1302
Japan,FreshStart Toothpaste,Oct2024,1354
Japan,FreshStart Toothpaste,Nov2024,1412
Japan,FreshStart Toothpaste,Dec2024,1408
Japan,SmileShield Whitening Strips,Jan2024,0
Japan,SmileShield Whitening Strips,Feb2024,0
Japan,SmileShield Whitening Strips,Mar2024,0
Japan,SmileShield Whitening Strips,Apr2024,0
Japan,SmileShield Whitening Strips,May2024,0
Japan,SmileShield Whitening Strips,Jun2024,0
Japan,SmileShield Whitening Strips,Jul2024,0
Japan,SmileShield Whitening Strips,Aug2024,0
Japan,SmileShield Whitening Strips,Sep2024,0
Japan,SmileShield Whitening Strips,Oct2024,0
Japan,SmileShield Whitening Strips,Nov2024,0
Japan,SmileShield Whitening Strips,Dec2024,0
Japan,BriteBite Toothbrush,Jan2024,855
Japan,BriteBite Toothbrush,Feb2024,896
Japan,BriteBite Toothbrush,Mar2024,864
Japan,BriteBite Toothbrush,Apr2024,858
Japan,BriteBite Toothbrush,May2024,891
Japan,BriteBite Toothbrush,Jun2024,880
Japan,BriteBite Toothbrush,Jul2024,879
Japan,BriteBite Toothbrush,Aug2024,849
Japan,BriteBite Toothbrush,Sep2024,920
Japan,BriteBite Toothbrush,Oct2024,930
Japan,BriteBite Toothbrush,Nov2024,821
Japan,BriteBite Toothbrush,Dec2024,823
Japan,LuminousLip Care,Jan2024,0
Japan,LuminousLip Care,Feb2024,0
Japan,LuminousLip Care,Mar2024,0
Japan,LuminousLip Care,Apr2024,0
Japan,LuminousLip Care,May2024,0
Japan,LuminousLip Care,Jun2024,0
Japan,LuminousLip Care,Jul2024,0
Japan,LuminousLip Care,Aug2024,0
Japan,LuminousLip Care,Sep2024,0
Japan,LuminousLip Care,Oct2024,0
Japan,LuminousLip Care,Nov2024,0
Japan,LuminousLip Care,Dec2024,0
Japan,CleanSlate Mouthwash,Jan2024,0
Japan,CleanSlate Mouthwash,Feb2024,0
Japan,CleanSlate Mouthwash,Mar2024,0
Japan,CleanSlate Mouthwash,Apr2024,0
Japan,CleanSlate Mouthwash,May2024,0
Japan,CleanSlate Mouthwash,Jun2024,0
Japan,CleanSlate Mouthwash,Jul2024,0
Japan,CleanSlate Mouthwash,Aug2024,0
Japan,CleanSlate Mouthwash,Sep2024,0
Japan,CleanSlate Mouthwash,Oct2024,0
Japan,CleanSlate Mouthwash,Nov2024,0
Japan,CleanSlate Mouthwash,Dec2024,0
Japan,OralEase Gel,Jan2024,1468
Japan,OralEase Gel,Feb2024,1604
Japan,OralEase Gel,Mar2024,1521
Japan,OralEase Gel,Apr2024,1550
Japan,OralEase Gel,May2024,1479
Japan,OralEase Gel,Jun2024,1609
Japan,OralEase Gel,Jul2024,1475
Japan,OralEase Gel,Aug2024,1499
Japan,OralEase Gel,Sep2024,1625
Japan,OralEase Gel,Oct2024,1549
Japan,OralEase Gel,Nov2024,1669
Japan,OralEase Gel,Dec2024,1597
Japan,BreathBliss Mints,Jan2024,0
Japan,BreathBliss Mints,Feb2024,0
Japan,BreathBliss Mints,Mar2024,0
Japan,BreathBliss Mints,Apr2024,0
Japan,BreathBliss Mints,May2024,0
Japan,BreathBliss Mints,Jun2024,0
Japan,BreathBliss Mints,Jul2024,0
Japan,BreathBliss Mints,Aug2024,0
Japan,BreathBliss Mints,Sep2024,0
Japan,BreathBliss Mints,Oct2024,0
